employee_name,user_id,email,role,business_unit,functional_unit,department,team,supervisor,phoneNum
Kai Susan Chaney,KSC0255,Kai.Susan.Chaney@dtaa.com,MaterialsEngineer,1,ResearchAndEngineering,Engineering,MaterialsEngineering,Anastasia Ava Curry,13018693644
Amanda Beatrice Wall,ABW0271,Amanda.Beatrice.Wall@dtaa.com,MechanicalEngineer,1,ResearchAndEngineering,Engineering,TestAndEvalualtion,Melissa Ruby Knight,13027738949
Thomas Jacob Booth,TJB0250,Thomas.Jacob.Booth@dtaa.com,ElectricalEngineer,1,ResearchAndEngineering,Engineering,ElectricalEngineering,Jolene Martha Blake,13064614377
Yvonne Desiree Gutierrez,YDG0180,Yvonne.Desiree.Gutierrez@dtaa.com,Technician,1,SalesAndMarketing,FieldService,RegionalFieldService,Gisela Kelsie Yates,13060813883
Demetrius Armando Lara,DAL0189,Demetrius.Armando.Lara@dtaa.com,PurchasingClerk,1,PurchasingAndContracts,Purchasing,,Jayme Adrienne Jarvis,13068491513
Cameran Sheila Conrad,CSC0581,Cameran.Sheila.Conrad@dtaa.com,Salesman,1,SalesAndMarketing,Sales,RegionalSales,Nicole Maris Valentine,13017547399
Edward Hu Pickett,EHP0795,Edward.Hu.Pickett@dtaa.com,ProductionLineWorker,1,Manufacturing,Assembly,AssemblyDept,Hector Davis Ellison,13018579316
Reagan Shafira Castaneda,RSC0642,Reagan.Shafira.Castaneda@dtaa.com,Mathematician,1,ResearchAndEngineering,Research,Lab,Quon Rana Flynn,13040922677
Chancellor Lee Ratliff,CLR0460,Chancellor.Lee.Ratliff@dtaa.com,Salesman,1,SalesAndMarketing,Sales,RegionalSales,Bo Mira Dillard,13052130460
Ruth Daphne Carver,RDC0283,Ruth.Daphne.Carver@dtaa.com,ProductionLineWorker,1,Manufacturing,Assembly,AssemblyDept,Nadine Anjolie Gregory,13014810314
Myra Casey Lambert,MCL0139,Myra.Casey.Lambert@dtaa.com,Manager,1,Finance,Accounting,,Buffy Meredith Giles,13059739655
Ursula Quail Robbins,UQR0361,Ursula.Quail.Robbins@dtaa.com,ComputerScientist,1,ResearchAndEngineering,SoftwareManagement,Software,Odysseus Finn Shepherd,13090872459
Hammett Robert Herrera,HRH0272,Hammett.Robert.Herrera@dtaa.com,ElectricalEngineer,1,ResearchAndEngineering,Engineering,TestAndEvalualtion,Melissa Ruby Knight,13044966907
Nicholas Jason Potter,NJP0752,Nicholas.Jason.Potter@dtaa.com,Technician,1,SalesAndMarketing,FieldService,RegionalFieldService,Porter Hop Livingston,13052006338
Velma Marah Torres,VMT0475,Velma.Marah.Torres@dtaa.com,Technician,1,SalesAndMarketing,FieldService,RegionalFieldService,William Vernon Booth,13030366672
Serina Idola Douglas,SID0429,Serina.Idola.Douglas@dtaa.com,ProductionLineWorker,1,Manufacturing,Assembly,AssemblyDept,Brenna Martha Russell,13080952645
Zelenia Neve Snider,ZNS0213,Zelenia.Neve.Snider@dtaa.com,ITAdmin,1,Adminstration,Security,ElectronicSecurity,Jaquelyn Yoshi Mckinney,13063017020
Bert Beau Sloan,BBS0474,Bert.Beau.Sloan@dtaa.com,Technician,1,SalesAndMarketing,FieldService,RegionalFieldService,William Vernon Booth,13020006595
Herrod Stewart Monroe,HSM0330,Herrod.Stewart.Monroe@dtaa.com,Technician,1,SalesAndMarketing,FieldService,RegionalFieldService,Gisela Kelsie Yates,13088805402
Palmer Ahmed Sutton,PAS0349,Palmer.Ahmed.Sutton@dtaa.com,Mathematician,1,ResearchAndEngineering,Research,Lab,Haviva Jada Molina,13047766445
Chaney Sean Fuentes,CSF0929,Chaney.Sean.Fuentes@dtaa.com,ProductionLineWorker,1,Manufacturing,Assembly,AssemblyDept,Theodore Upton Barry,13083368586
Ashton Lucius Mccarty,ALM0073,Ashton.Lucius.Mccarty@dtaa.com,AdministrativeAssistant,1,ResearchAndEngineering,Engineering,MechanicalEngineering,Benjamin Gannon Rodriquez,13057799927
Grace Victoria Cummings,GVC0621,Grace.Victoria.Cummings@dtaa.com,Technician,1,SalesAndMarketing,FieldService,RegionalFieldService,Amethyst Suki Norris,13060574870
Simone Vielka Peck,SVP0644,Simone.Vielka.Peck@dtaa.com,Physicist,1,ResearchAndEngineering,Research,Lab,Quon Rana Flynn,13021105643
Xena Uma Gibson,XUG0327,Xena.Uma.Gibson@dtaa.com,Technician,1,SalesAndMarketing,FieldService,RegionalFieldService,Gisela Kelsie Yates,13074558342
Glenna Leah Holman,GLH0154,Glenna.Leah.Holman@dtaa.com,Director,1,SalesAndMarketing,FieldService,,Jerome Alec Wallace,13085801176
Gisela Kelsie Yates,GKY0171,Gisela.Kelsie.Yates@dtaa.com,FieldServiceEngineer,1,SalesAndMarketing,FieldService,RegionalFieldService,Glenna Leah Holman,13073578594
Jaquelyn Rebekah Valenzuela,JRV0778,Jaquelyn.Rebekah.Valenzuela@dtaa.com,ComputerProgrammer,1,ResearchAndEngineering,SoftwareManagement,Software,India Karina Todd,13077163746
Wanda Irene Frazier,WIF0497,Wanda.Irene.Frazier@dtaa.com,Technician,1,SalesAndMarketing,FieldService,RegionalFieldService,William Vernon Booth,13008000612
Tucker William Mosley,TWM0306,Tucker.William.Mosley@dtaa.com,Salesman,1,SalesAndMarketing,Sales,RegionalSales,Hanna Miranda Lindsay,13013033870
Todd Amir Cote,TAC0270,Todd.Amir.Cote@dtaa.com,Technician,1,ResearchAndEngineering,Engineering,TestAndEvalualtion,Melissa Ruby Knight,13030054755
Xenos Benjamin Byers,XBB0890,Xenos.Benjamin.Byers@dtaa.com,Scientist,1,ResearchAndEngineering,Research,Lab,Kasper Thomas Shelton,13061628293
Imani Doris Meyer,IDM0326,Imani.Doris.Meyer@dtaa.com,Technician,1,SalesAndMarketing,FieldService,RegionalFieldService,Gisela Kelsie Yates,13058455393
Cherokee Germane Stokes,CGS0138,Cherokee.Germane.Stokes@dtaa.com,AdministrativeAssistant,1,Finance,,,Buffy Meredith Giles,13017057097
Thane Chaney Franklin,TCF0052,Thane.Chaney.Franklin@dtaa.com,Mathematician,1,ResearchAndEngineering,Research,Lab,Evelyn Xena Santana,13012673246
Isaiah Hyatt Talley,IHT0597,Isaiah.Hyatt.Talley@dtaa.com,Salesman,1,SalesAndMarketing,Sales,RegionalSales,Nicole Maris Valentine,13081643865
Len Zachery Vaughn,LZV0162,Len.Zachery.Vaughn@dtaa.com,Salesman,1,SalesAndMarketing,Sales,RegionalSales,Hanna Miranda Lindsay,13034316361
Graiden Tanek Christensen,GTC0331,Graiden.Tanek.Christensen@dtaa.com,Technician,1,SalesAndMarketing,FieldService,RegionalFieldService,Gisela Kelsie Yates,13099319493
Selma Shana Haley,SSH0937,Selma.Shana.Haley@dtaa.com,ProductionLineWorker,1,Manufacturing,Assembly,AssemblyDept,Theodore Upton Barry,13071701260
Althea Myra Hamilton,AMH0857,Althea.Myra.Hamilton@dtaa.com,Technician,1,SalesAndMarketing,FieldService,RegionalFieldService,Hunter Stephen Slater,13052891760
Bruno Eric Kim,BEK0623,Bruno.Eric.Kim@dtaa.com,Technician,1,SalesAndMarketing,FieldService,RegionalFieldService,Amethyst Suki Norris,13043151242
Kibo Burke Camacho,KBC0531,Kibo.Burke.Camacho@dtaa.com,ComputerProgrammer,1,ResearchAndEngineering,SoftwareManagement,Software,Chava Ursa Dotson,13043154873
Drew Ezra Walsh,DEW0770,Drew.Ezra.Walsh@dtaa.com,Mathematician,1,ResearchAndEngineering,Research,Lab,Emmanuel Casey Wiggins,13048780961
Jemima Jane Park,JJP0687,Jemima.Jane.Park@dtaa.com,ProductionLineWorker,1,Manufacturing,Assembly,AssemblyDept,Abraham Perry Reyes,13070921327
Hunter Flynn Pope,HFP0394,Hunter.Flynn.Pope@dtaa.com,TestEngineer,1,ResearchAndEngineering,Engineering,TestAndEvalualtion,Edan Quinn Randolph,13070590691
Yetta Chava Harvey,YCH0796,Yetta.Chava.Harvey@dtaa.com,ProductionLineWorker,1,Manufacturing,Assembly,AssemblyDept,Hector Davis Ellison,13081994596
Anne Zia Hawkins,AZH0595,Anne.Zia.Hawkins@dtaa.com,Salesman,1,SalesAndMarketing,Sales,RegionalSales,Nicole Maris Valentine,13088962374
Cassandra Francesca Buchanan,CFB0034,Cassandra.Francesca.Buchanan@dtaa.com,SecurityGuard,1,Adminstration,Security,BuildingSecurity,Edward Benjamin Buck,13044970855
Maia Paloma Long,MPL0185,Maia.Paloma.Long@dtaa.com,Manager,1,PurchasingAndContracts,Contracts,,Guy Caesar Finch,13045602439
Damon Rashad Weaver,DRW0195,Damon.Rashad.Weaver@dtaa.com,Attorney,1,PurchasingAndContracts,Contracts,,Maia Paloma Long,13094618889
Emerald Bree Hart,EBH0612,Emerald.Bree.Hart@dtaa.com,Technician,1,SalesAndMarketing,FieldService,RegionalFieldService,Amethyst Suki Norris,13087502833
Hiram Jasper Velez,HJV0721,Hiram.Jasper.Velez@dtaa.com,Salesman,1,SalesAndMarketing,Sales,RegionalSales,Castor Chaim Combs,13089108194
Nyssa Zephr Tyler,NZT0335,Nyssa.Zephr.Tyler@dtaa.com,Technician,1,SalesAndMarketing,FieldService,RegionalFieldService,Gisela Kelsie Yates,13026398578
Danielle Ila Benson,DIB0207,Danielle.Ila.Benson@dtaa.com,SecurityGuard,1,Adminstration,Security,BuildingSecurity,Edward Benjamin Buck,13064395669
Damon Emerson Shelton,DES0075,Damon.Emerson.Shelton@dtaa.com,MechanicalEngineer,1,ResearchAndEngineering,Engineering,MechanicalEngineering,Benjamin Gannon Rodriquez,13093177075
Laura Aspen Dunlap,LAD0514,Laura.Aspen.Dunlap@dtaa.com,Mathematician,1,ResearchAndEngineering,Research,Lab,Yeo Xyla Garner,13063584466
Iliana Ruth Foley,IRF0054,Iliana.Ruth.Foley@dtaa.com,Scientist,1,ResearchAndEngineering,Research,Lab,Evelyn Xena Santana,13027118359
Suki Daria Puckett,SDP0142,Suki.Daria.Puckett@dtaa.com,AdministrativeAssistant,1,Finance,Accounting,,Myra Casey Lambert,13002028543
Cynthia Cheyenne Melton,CCM0822,Cynthia.Cheyenne.Melton@dtaa.com,Salesman,1,SalesAndMarketing,Sales,RegionalSales,Dennis Carson Mendoza,13052878038
Jonathan Gary Casey,JGC0105,Jonathan.Gary.Casey@dtaa.com,MechanicalEngineer,1,ResearchAndEngineering,Engineering,TestAndEvalualtion,Melissa Ruby Knight,13047641541
Baxter Knox Mejia,BKM0492,Baxter.Knox.Mejia@dtaa.com,Technician,1,SalesAndMarketing,FieldService,RegionalFieldService,William Vernon Booth,13073092947
Hakeem Herman Buck,HHB0156,Hakeem.Herman.Buck@dtaa.com,Mathematician,1,SalesAndMarketing,MarketAnalysis,,Josephine Sylvia Parsons,13061943538
Oscar Reece Cote,ORC0489,Oscar.Reece.Cote@dtaa.com,Technician,1,SalesAndMarketing,FieldService,RegionalFieldService,William Vernon Booth,13054216425
Aline Vanna Rojas,AVR0566,Aline.Vanna.Rojas@dtaa.com,ProductionLineWorker,1,Manufacturing,Assembly,AssemblyDept,Herrod Len Parker,13029768467
Kasper Zeph Moran,KZM0791,Kasper.Zeph.Moran@dtaa.com,ProductionLineWorker,1,Manufacturing,Assembly,AssemblyDept,Hector Davis Ellison,13076202956
Janna Aretha Woodward,JAW0003,Janna.Aretha.Woodward@dtaa.com,VicePresident,1,Adminstration,,,Kaden Tarik Giles,13098141828
Madeson Chanda Foley,MCF0456,Madeson.Chanda.Foley@dtaa.com,Salesman,1,SalesAndMarketing,Sales,RegionalSales,Bo Mira Dillard,13098616819
Giselle Shellie Barnett,GSB0575,Giselle.Shellie.Barnett@dtaa.com,Salesman,1,SalesAndMarketing,Sales,RegionalSales,Nicole Maris Valentine,13004056114
Dante Elmo Weber,DEW0544,Dante.Elmo.Weber@dtaa.com,ProductionLineWorker,1,Manufacturing,Assembly,AssemblyDept,Herrod Len Parker,13096177535
Kyla Katelyn Calhoun,KKC0234,Kyla.Katelyn.Calhoun@dtaa.com,MechanicalEngineer,1,ResearchAndEngineering,Engineering,MechanicalEngineering,Benjamin Gannon Rodriquez,13073210159
Octavius Ulric Sexton,OUS0309,Octavius.Ulric.Sexton@dtaa.com,Salesman,1,SalesAndMarketing,Sales,RegionalSales,Hanna Miranda Lindsay,13010975556
Harrison Alec Mccormick,HAM0510,Harrison.Alec.Mccormick@dtaa.com,Physicist,1,ResearchAndEngineering,Research,Lab,Yeo Xyla Garner,13018130127
Raphael Jarrod Hammond,RJH0445,Raphael.Jarrod.Hammond@dtaa.com,Salesman,1,SalesAndMarketing,Sales,RegionalSales,Bo Mira Dillard,13048558627
Brian Jesse Gentry,BJG0120,Brian.Jesse.Gentry@dtaa.com,MechanicalEngineer,1,Manufacturing,ManufacturingEngineering,,Ann Hannah Dickerson,13004466973
Chastity Shaine Floyd,CSF0671,Chastity.Shaine.Floyd@dtaa.com,ProductionLineWorker,1,Manufacturing,Assembly,AssemblyDept,Abraham Perry Reyes,13017414692
Carl Scott Hooper,CSH0056,Carl.Scott.Hooper@dtaa.com,Manager,1,ResearchAndEngineering,SoftwareManagement,Software,Vaughan Emery Paul,13005540224
Nash Derek Alford,NDA0686,Nash.Derek.Alford@dtaa.com,ProductionLineWorker,1,Manufacturing,Assembly,AssemblyDept,Abraham Perry Reyes,13096280111
Abigail Rylee Bean,ARB0002,Abigail.Rylee.Bean@dtaa.com,AdministrativeAssistant,1,,,,Kaden Tarik Giles,13002055065
Rudyard Drake Hampton,RDH0439,Rudyard.Drake.Hampton@dtaa.com,ProductionLineWorker,1,Manufacturing,Assembly,AssemblyDept,Brenna Martha Russell,13072606437
Hyacinth Hanae Leonard,HHL0126,Hyacinth.Hanae.Leonard@dtaa.com,ProductionLineWorker,1,Manufacturing,Assembly,AssemblyDept,Nadine Anjolie Gregory,13069444369
Aaron Dolan Hill,ADH0427,Aaron.Dolan.Hill@dtaa.com,ProductionLineWorker,1,Manufacturing,Assembly,AssemblyDept,Brenna Martha Russell,13052397716
Giacomo Hamilton Giles,GHG0667,Giacomo.Hamilton.Giles@dtaa.com,ProductionLineWorker,1,Manufacturing,Assembly,AssemblyDept,Abraham Perry Reyes,13045537153
Cassady Riley Alvarez,CRA0098,Cassady.Riley.Alvarez@dtaa.com,AdministrativeAssistant,1,ResearchAndEngineering,Engineering,TestAndEvalualtion,Melissa Ruby Knight,13093848454
Jerome Levi Mcclain,JLM0399,Jerome.Levi.Mcclain@dtaa.com,TestEngineer,1,ResearchAndEngineering,Engineering,TestAndEvalualtion,Edan Quinn Randolph,13005350516
Ramona Sandra Parrish,RSP0404,Ramona.Sandra.Parrish@dtaa.com,TestEngineer,1,ResearchAndEngineering,Engineering,TestAndEvalualtion,Edan Quinn Randolph,13033731393
Tobias Brady Fletcher,TBF0598,Tobias.Brady.Fletcher@dtaa.com,Salesman,1,SalesAndMarketing,Sales,RegionalSales,Nicole Maris Valentine,13007144023
Lysandra Keiko Franks,LKF0122,Lysandra.Keiko.Franks@dtaa.com,AdministrativeAssistant,1,Manufacturing,Assembly,,Gisela Jeanette Watkins,13031312096
Evangeline Chava Curtis,ECC0383,Evangeline.Chava.Curtis@dtaa.com,SystemsEngineer,1,ResearchAndEngineering,Engineering,SystemsEngineering,Grady Calvin Morin,13085390867
Brynne Irma Britt,BIB0251,Brynne.Irma.Britt@dtaa.com,ElectricalEngineer,1,ResearchAndEngineering,Engineering,ElectricalEngineering,Jolene Martha Blake,13017074809
Lars Scott Hatfield,LSH0223,Lars.Scott.Hatfield@dtaa.com,Mathematician,1,ResearchAndEngineering,Research,Lab,Evelyn Xena Santana,13077904348
Hunter Stephen Slater,HSS0758,Hunter.Stephen.Slater@dtaa.com,FieldServiceEngineer,1,SalesAndMarketing,FieldService,RegionalFieldService,Glenna Leah Holman,13042326650
Kelsie Mia Humphrey,KMH0998,Kelsie.Mia.Humphrey@dtaa.com,PurchasingClerk,1,PurchasingAndContracts,Pricing,,Lana Uma Alexander,13029229294
Madeline Mia Schultz,MMS0872,Madeline.Mia.Schultz@dtaa.com,Technician,1,SalesAndMarketing,FieldService,RegionalFieldService,Hunter Stephen Slater,13019973095
Evelyn Xena Santana,EXS0046,Evelyn.Xena.Santana@dtaa.com,LabManager,1,ResearchAndEngineering,Research,Lab,Jena Vanna White,13008673612
